21.156,0.081
21.156,0.081
9.557,0.195
9.793,0.085
10.470,0.238
13.850,0.331
13.346,0.132
9.315,0.161
10.470,0.284
9.793,0.136
9.315,0.276
8.811,0.272
17.230,0.187
10.897,0.305
10.024,0.378
8.548,0.356
7.996,0.233
11.308,0.187
10.470,0.115
10.249,0.127
14.651,0.267
12.461,0.479
11.705,0.420
22.717,0.153
15.849,0.450
13.684,0.335
8.548,0.004
17.880,0.280
12.643,0.225
10.470,0.242
15.111,0.055
17.752,0.013
10.685,0.221
9.067,0.395
14.806,0.399
13.174,0.255
15.111,0.085
16.554,0.314
12.643,0.182
12.822,0.420
8.277,0.025
10.249,0.263
16.135,0.178
10.685,0.119
16.554,0.140
18.508,0.229
14.014,0.225
9.557,0.017
10.249,0.344
10.470,0.115
12.089,0.352
13.850,0.165
9.315,0.178
11.899,0.297
10.897,0.089
13.346,0.055
10.024,0.204
13.516,0.132
16.276,0.225
10.470,0.322
12.461,0.369
11.308,0.119
10.685,0.212
14.014,0.195
10.897,0.195
10.470,0.242
10.685,0.263
13.174,0.310
10.897,0.301
12.999,0.488
16.415,0.238
18.874,0.123
15.849,0.178
7.705,0.085
8.811,0.310
10.249,0.403
26.174,0.004
21.156,0.339
21.048,0.047
9.315,0.157
11.705,0.182
11.509,0.119
12.643,0.305
7.705,0.123
8.548,0.225
8.277,0.255
9.315,0.250
10.470,0.195
13.516,0.212
10.685,0.310
13.346,0.390
11.509,0.233
8.548,0.272
11.899,0.064
7.705,0.068
12.277,0.017
16.135,0.017
11.509,0.403
17.623,0.199
10.249,0.110
14.494,0.221
9.557,0.378
18.631,0.030
14.494,0.034
14.806,0.327
8.548,0.318
14.806,0.412
17.097,0.178
9.315,0.068
8.548,0.369
8.548,0.153
9.557,0.250
10.024,0.276
10.897,0.136
14.176,0.267
8.277,0.259
9.557,0.085
12.277,0.382
8.548,0.314
7.705,0.187
11.899,0.089
11.105,0.170
12.461,0.127
8.811,0.119
18.874,0.212
14.806,0.399
8.277,0.293
9.315,0.047
11.509,0.034
8.277,0.013
13.346,0.182
20.830,0.098
12.277,0.064
13.174,0.170
10.685,0.144
9.793,0.191
9.067,0.030
22.003,0.025
10.024,0.267
12.999,0.293
17.493,0.191
10.024,0.199
9.067,0.195
9.067,0.225
14.960,0.272
10.685,0.064
14.014,0.102
10.897,0.352
13.684,0.119
10.024,0.102
7.996,0.246
21.048,0.102
9.793,0.089
12.643,0.021
11.705,0.238
11.308,0.225
14.014,0.280
13.684,0.305
8.548,0.132
9.557,0.454
7.996,0.059
20.048,0.098
14.014,0.208
9.067,0.132
7.996,0.263
7.996,0.352
11.105,0.038
11.105,0.008
12.277,0.004
9.315,0.034
11.105,0.216
16.554,0.004
12.089,0.157
18.508,0.021
26.520,0.017
17.362,0.195
14.806,0.144
11.308,0.127
12.643,0.356
9.557,0.229
11.308,0.238
11.899,0.288
11.705,0.259
7.705,0.030
9.557,0.017
14.806,0.013
11.705,0.021
14.336,0.030
11.899,0.030
13.174,0.017
9.793,0.038
12.999,0.221
11.308,0.127
12.277,0.288
17.230,0.115
14.176,0.212
12.089,0.195
13.174,0.098
12.089,0.042
11.308,0.042
10.249,0.004
11.899,0.403
18.508,0.178
13.684,0.246
14.651,0.042
10.897,0.072
11.899,0.199
11.105,0.098
12.277,0.403
13.346,0.301
7.996,0.123
18.631,0.255
10.897,0.242
8.277,0.161
14.494,0.161
15.704,0.250
8.811,0.178
10.249,0.242
19.115,0.365
15.262,0.055
9.315,0.301
10.249,0.144
13.684,0.072
10.685,0.076
11.899,0.174
7.705,0.208
13.850,0.110
12.089,0.288
11.509,0.310
15.262,0.229
13.516,0.276
12.643,0.068
17.230,0.136
8.277,0.072
10.685,0.140
11.705,0.064
11.705,0.204
9.557,0.025
15.411,0.102
12.461,0.030
15.262,0.013
9.793,0.000
11.509,0.280
9.793,0.140
14.960,0.327
9.557,0.229
11.899,0.195
18.384,0.081
7.403,0.255
10.249,0.225
19.352,0.297
19.352,0.297
14.960,0.140
10.470,0.288
9.557,0.170
11.105,0.272
12.089,0.123
8.548,0.072
8.811,0.335
16.415,0.314
15.704,0.263
11.105,0.267
12.089,0.136
7.403,0.127
19.234,0.216
13.174,0.212
16.691,0.412
13.174,0.089
7.996,0.093
13.850,0.344
18.874,0.153
17.752,0.318
10.685,0.255
14.494,0.233
9.793,0.335
12.643,0.424
12.822,0.233
13.516,0.034
12.461,0.242
9.315,0.195
27.617,0.395
19.587,0.051
11.899,0.004
17.097,0.098
10.897,0.165
8.548,0.284
21.899,0.047
22.106,0.106
18.259,0.204
9.557,0.216
16.963,0.462
13.516,0.195
8.811,0.293
11.899,0.361
12.999,0.361
11.899,0.259
7.705,0.339
13.346,0.013
8.548,0.000
10.685,0.170
18.007,0.170
16.415,0.072
17.362,0.318
12.999,0.208
7.403,0.407
7.403,0.051
9.793,0.361
9.067,0.272
22.312,0.081
10.024,0.013
13.174,0.250
15.262,0.348
14.336,0.301
9.557,0.331
11.899,0.157
16.963,0.157
14.806,0.148
9.793,0.153
12.089,0.284
9.557,0.182
11.705,0.403
11.899,0.119
9.067,0.106
13.346,0.140
8.548,0.153
17.493,0.030
10.249,0.522
12.461,0.238
9.793,0.297
19.352,0.259
15.558,0.242
12.461,0.025
12.822,0.479
15.411,0.543
7.705,0.293
11.705,0.127
11.509,0.369
14.176,0.339
11.308,0.199
12.822,0.331
10.249,0.017
9.067,0.344
20.830,0.339
20.830,0.339
17.362,0.399
15.411,0.361
14.494,0.437
13.516,0.331
19.234,0.199
18.995,0.064
11.509,0.038
17.493,0.322
12.277,0.013
11.308,0.174
10.024,0.322
17.752,0.225
9.557,0.161
9.315,0.187
12.822,0.208
10.249,0.195
10.249,0.021
11.899,0.174
8.811,0.195
17.623,0.314
15.411,0.174
14.336,0.242
12.089,0.170
10.470,0.059
10.685,0.051
9.557,0.017
8.811,0.195
8.811,0.140
8.277,0.170
13.684,0.127
10.024,0.059
10.470,0.161
14.176,0.098
12.822,0.267
11.105,0.365
10.249,0.246
12.822,0.212
8.811,0.195
11.509,0.518
11.705,0.318
12.461,0.072
11.308,0.293
14.494,0.272
13.516,0.051
17.623,0.089
11.509,0.229
15.704,0.182
14.336,0.123
12.643,0.191
9.793,0.509
14.336,0.382
10.249,0.148
11.308,0.246
14.494,0.263
8.548,0.051
9.557,0.102
15.558,0.255
14.651,0.199
10.249,0.178
10.685,0.115
14.494,0.242
13.850,0.344
13.174,0.263
13.346,0.255
13.516,0.212
14.014,0.259
7.996,0.199
13.346,0.242
10.024,0.399
12.643,0.081
16.554,0.098
9.315,0.089
10.685,0.132
10.024,0.093
13.850,0.331
11.705,0.161
12.999,0.119
8.548,0.004
20.386,0.246
14.176,0.441
11.509,0.072
15.111,0.034
14.176,0.017
19.234,0.076
12.089,0.085
10.897,0.161
12.822,0.331
11.308,0.098
12.643,0.038
9.315,0.276
10.024,0.157
7.403,0.085
11.308,0.221
9.067,0.242
8.548,0.293
15.111,0.221
8.548,0.098
9.793,0.017
13.174,0.013
11.899,0.284
11.105,0.051
12.089,0.034
19.587,0.132
14.806,0.144
15.111,0.148
9.557,0.059
10.470,0.178
12.999,0.378
8.811,0.132
11.308,0.000
10.897,0.076
15.558,0.132
11.705,0.123
10.897,0.191
14.014,0.093
10.897,0.199
11.509,0.132
15.262,0.072
12.089,0.102
9.793,0.174
12.461,0.356
17.752,0.098
11.899,0.115
15.411,0.195
9.557,0.208
10.470,0.021
14.336,0.182
12.461,0.195
15.262,0.238
8.811,0.216
24.084,0.259
15.411,0.068
9.315,0.276
11.105,0.161
27.032,0.106
20.274,0.110
16.691,0.255
14.651,0.182
10.897,0.017
10.249,0.038
10.249,0.327
10.897,0.153
11.705,0.115
11.308,0.098
16.135,0.297
13.174,0.110
11.899,0.344
10.249,0.102
8.811,0.068
10.470,0.076
8.811,0.089
12.643,0.148
8.548,0.284
8.811,0.170
